title,duration,genre,imdb_rating,metascore_rating,votes
Joker,122 min,"Crime, Drama, Thriller",8.5,59,"774,342"
Avengers: Endgame,181 min,"Action, Adventure, Drama",8.4,78,"708,806"
Chernobyl,330 min,"Drama, History, Thriller",9.4,,"455,226"
Once Upon a Time... in Hollywood,161 min,"Comedy, Drama",7.7,83,"455,128"
Captain Marvel,123 min,"Action, Adventure, Sci-Fi",6.9,64,"409,072"
Parasite,132 min,"Comedy, Drama, Thriller",8.6,96,"391,186"
Star Wars: Episode IX - The Rise of Skywalker,142 min,"Action, Adventure, Fantasy",6.7,53,"310,086"
1917,119 min,"Drama, War",8.3,78,"297,099"
Knives Out,131 min,"Comedy, Crime, Drama",7.9,82,"290,324"
Spider-Man: Far from Home,129 min,"Action, Adventure, Sci-Fi",7.5,69,"286,423"
The Irishman,209 min,"Biography, Crime, Drama",7.9,94,"284,230"
The Witcher,60 min,"Action, Adventure, Fantasy",8.3,,"250,268"
John Wick: Chapter 3 - Parabellum,131 min,"Action, Crime, Thriller",7.5,73,"242,682"
Shazam!,132 min,"Action, Adventure, Comedy",7.1,71,"228,214"
Game of Thrones,80 min,"Action, Adventure, Drama",4.1,,"220,731"
Ford v Ferrari,152 min,"Action, Biography, Drama",8.1,81,"208,715"
Marriage Story,137 min,"Comedy, Drama, Romance",8.0,94,"208,608"
Jojo Rabbit,108 min,"Comedy, Drama, War",7.9,58,"205,171"
Alita: Battle Angel,122 min,"Action, Adventure, Sci-Fi",7.3,53,"204,434"
Aladdin,128 min,"Adventure, Family, Fantasy",7.0,53,"203,345"
Game of Thrones,82 min,"Action, Adventure, Drama",7.5,,"200,358"
Us,116 min,"Horror, Mystery, Thriller",6.9,81,"196,878"
Glass,129 min,"Drama, Sci-Fi, Thriller",6.7,43,"189,845"
The Lion King,118 min,"Animation, Adventure, Drama",6.9,55,"188,276"
Game of Thrones,78 min,"Action, Adventure, Drama",6.0,,"178,029"
Toy Story 4,100 min,"Animation, Adventure, Comedy",7.8,84,"176,795"
It Chapter Two,169 min,"Drama, Fantasy, Horror",6.6,58,"173,795"
The Mandalorian,30 min,"Action, Adventure, Sci-Fi",8.7,,"162,907"
Ad Astra,123 min,"Adventure, Drama, Mystery",6.6,80,"161,469"
El Camino: A Breaking Bad Movie,122 min,"Action, Crime, Drama",7.4,72,"161,161"
Uncut Gems,135 min,"Crime, Drama, Thriller",7.5,90,"157,824"
Game of Thrones,78 min,"Action, Adventure, Drama",5.5,,"152,832"
Midsommar,148 min,"Drama, Horror, Mystery",7.1,72,"147,865"
Fast & Furious Presents: Hobbs & Shaw,137 min,"Action, Adventure",6.5,60,"147,540"
The Boys,60 min,"Action, Comedy, Crime",8.7,,"142,039"
Jumanji: The Next Level,123 min,"Action, Adventure, Comedy",6.7,58,"139,956"
X-Men: Dark Phoenix,113 min,"Action, Adventure, Sci-Fi",5.8,43,"136,561"
Sex Education,45 min,"Comedy, Drama",8.3,,"130,034"
Pokémon Detective Pikachu,104 min,"Adventure, Comedy, Family",6.6,53,"123,774"
The Gentlemen,113 min,"Action, Comedy, Crime",7.9,51,"123,207"
Game of Thrones,54 min,"Action, Adventure, Drama",7.6,,"121,876"
Game of Thrones,58 min,"Action, Adventure, Drama",7.9,,"120,014"
Godzilla: King of the Monsters,132 min,"Action, Adventure, Fantasy",6.1,48,"118,401"
6 Underground,128 min,"Action, Comedy, Thriller",6.1,41,"118,118"
